zipcode,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income,Median Age,Male Median Age,Female Median Age,Male Population,Female Population,White Population,Black or African American Population,American Indian or Alaskan Native Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Other Race Population,Two or More Races Population,Husband and Wife Family Households,Single Guardian Households,Singles Households,Singles with Roommate Households,Households without Kids,Households with Kids,In Occupied Housing Units,Correctional Facilities,Juvenile Facilities,Nursing Facilities,Other Institutional,College Student Housing,Military Quarters,Other Noninstitutional,Owned House with Mortgage,Owned House Entirely,House Occupied by Renter,Households Vacant,Rented Studio Apartment,Rented 1 Bedroom,Rented 2 Bedroom,Rented 3+ Bedroom,Worked Full-time,Worked Part-time,No Earnings,"Commute in Car, Truck, or Van",Commute in Public Transportation,Commute in Taxicab,Commute in Motorcycle,"Commute in Bicycle, Walking, Other",Worked at Home,Less than High School Diploma,High School Graduate,Associate's degree,Master's degree,Professional school degree,Doctorate degree,Enrolled in Public School,Enrolled in Private School,Not Enrolled in School
98112,"21,077","6,667","10,897","$754,200",3.16,1.48,"10,139","$96,054",39,39,40,"10,309","10,768","17,637","1,157",56,"1,154",21,169,883,"3,804",788,"3,977","1,570","8,036","2,103","20,915",23,4,50,6,10,0,69,"4,045","1,543","4,551",758,543,"1,930","1,329",721,"8,908","5,062","4,305","6,719","2,351",28,93,"1,797","1,336",266,"2,937",783,"3,669","1,642","1,038","1,238","1,725",169
98004,"27,946","3,977","16,568","$723,300",7.03,1.61,"13,320","$93,521",40,38,41,"13,894","14,052","19,896",555,81,"5,936",39,429,"1,010","5,946","1,129","5,142","1,103","10,315","3,005","27,758",0,0,50,0,0,0,138,"4,536","2,118","6,666","3,248",895,"2,878","3,005","1,098","11,548","5,699","7,890","10,628","1,383",11,32,"1,748","1,454",653,"5,275","1,384","4,170","1,253",715,"2,904","1,385",462
98177,"19,030","3,341","8,078","$478,600",5.70,1.38,"7,713","$95,648",48,46,49,"9,100","9,930","16,155",375,89,"1,526",26,144,715,"4,468",884,"1,814",547,"5,492","2,221","18,749",0,0,133,0,0,0,148,"4,517","1,846","1,350",365,0,293,547,462,"5,796","4,181","5,660","7,252",668,0,51,131,652,578,"3,840",939,"1,920",994,579,"2,045","1,122",134
98019,"10,725",141,"3,907","$376,600",76.33,0.82,"3,708","$95,025",37,37,37,"5,400","5,325","9,676",41,62,273,7,268,398,"2,551",391,588,178,"2,042","1,666","10,670",0,0,0,0,4,0,51,"2,794",468,446,199,0,44,113,324,"3,802","2,068","2,418","4,781",123,0,25,19,300,317,"3,565",577,476,206,0,"2,265",342,217
98144,"26,881","7,895","12,660","$391,000",3.40,1.75,"11,511","$55,950",38,38,39,"13,573","13,308","11,781","4,889",251,"6,594",107,"1,614","1,645","3,799","1,965","4,060","1,687","8,701","2,810","26,314",35,3,264,0,0,0,265,"4,367","1,270","5,874","1,149",670,"2,546","1,619","1,226","10,047","6,281","6,107","8,980","3,264",29,130,"1,446",622,"2,750","6,433","1,026","2,254","1,059",529,"2,415",647,301
98056,"32,489","4,323","13,746","$342,600",7.52,1.55,"12,964","$70,683",36,36,36,"16,132","16,357","19,273","2,348",193,"6,303",161,"2,415","1,796","5,858","2,100","3,753","1,253","8,879","4,085","32,275",0,23,10,0,0,0,181,"5,908","1,410","5,646",782,207,"1,518","2,846","1,414","13,260","7,007","6,748","15,414","1,236",0,24,338,858,"2,837","10,604","2,036","1,910",376,201,"4,433",739,610
98005,"17,714","2,361","8,070","$568,700",7.50,0.01,"7,539","$84,774",38,36,40,"8,930","8,784","11,467",429,58,"4,572",22,482,684,"3,800",781,"2,286",672,"5,444","2,095","17,549",0,0,0,0,0,0,165,"3,193","1,168","3,178",531,223,"1,190","1,296",512,"6,500","3,307","4,636","6,461","1,032",27,63,389,524,454,"2,954",875,"2,368",500,412,"2,148",566,185
98168,"33,734","3,794","12,541","$240,000",8.89,0.16,"11,678","$49,233",34,34,35,"17,470","16,264","15,966","3,982",532,"5,934",912,"4,244","2,164","4,941","2,516","3,105","1,116","7,476","4,202","33,389",0,14,81,17,0,0,233,"5,058","1,328","5,292",863,146,"1,804","2,364","1,343","10,095","7,744","8,242","12,836","1,787",0,66,310,262,"4,083","12,123","2,070",883,174,96,"5,048",552,"1,007"
98146,"25,922","5,573","10,222","$308,400",4.65,0.68,"9,611","$56,809",38,38,39,"13,002","12,920","15,054","1,651",324,"4,232",419,"2,703","1,539","4,436","1,780","2,544",851,"6,393","3,218","25,565",0,91,111,9,0,0,146,"4,551","1,495","3,565",611,105,"1,265","1,460",787,"8,357","5,668","6,314","9,546","1,623",0,103,506,465,"2,959","8,509","1,419","1,189",305,96,"3,163","1,080",534
98028,"20,419","3,606","8,566","$386,200",5.66,0.72,"7,981","$82,448",40,38,40,"10,120","10,299","16,315",339,111,"2,153",59,517,925,"4,410","1,076","1,868",627,"5,309","2,672","20,333",0,1,27,0,0,0,58,"4,552","1,325","2,104",585,59,475,878,625,"7,111","4,356","4,998","7,889",807,0,65,241,856,"1,008","5,328","1,215","1,742",534,493,"3,257",486,457
